gene,logFC,logCPM,F,PValue,FDR,Significant,direction
DLGAP5,-0.11778395936126657,6.231910321880853,7.53614677523739,0.009565048904568375,0.015379252584960776,TRUE,Not significant
ABRACL,-0.17108136937682558,5.116252550912727,7.528789013196314,0.009596997362638617,0.01542903402366196,TRUE,Not significant
XRN1,0.1321112309315253,6.5685589017434856,7.5284525948092105,0.009598459911309217,0.015429798252983963,TRUE,Not significant
PARVB,-0.3511176984497674,2.7123503647237337,7.524808610632177,0.009614356295068762,0.01545376274083965,TRUE,Not significant
SAP30,-0.14760032484097252,5.30548768420335,7.519497846535968,0.00963750393575238,0.015489376505481718,TRUE,Not significant
LOC107985000,-1.1374859182130441,-0.6767935542168272,7.5168931849867615,0.009662824877275161,0.01552829356703067,TRUE,Down-regulated
PDE6B-AS1,1.1190117324210596,-0.7314796611743686,7.516278747534275,0.009663705152047813,0.01552829356703067,TRUE,Up-regulated
TOMM34,-0.11703761521048826,6.190145289461371,7.506725883428412,0.009693486344620725,0.015574546830429888,TRUE,Not significant
UBR1,0.1249337631081267,6.323596040118401,7.5060094812042815,0.009696636846202764,0.015578007390908541,TRUE,Not significant
ATP6V1B2,0.09402631531932716,7.154901300131071,7.505391267796666,0.009699356337165375,0.015579662405340292,TRUE,Not significant
SLBP,-0.10491729103028223,6.782545953418495,7.505322129874233,0.009699660580061829,0.015579662405340292,TRUE,Not significant
MAP7D1,-0.12913218640980603,8.0049306556706,7.502206609442427,0.009713379163673673,0.015600094156208335,TRUE,Not significant
COQ10A,0.19530136076948942,4.553138940302052,7.497461222406136,0.009734317086589008,0.01563211507894649,TRUE,Not significant
PDZD7,0.815440852948627,-0.0863890665296001,7.49584112474008,0.009743734114111944,0.01564563018323091,TRUE,Not significant
LRGUK,0.7005934429884568,0.2266039033613948,7.494377334216821,0.009749258977347146,0.015652893458236866,TRUE,Not significant
LOC105374352,0.9673918179194391,-0.6427875358112236,7.487858964875193,0.009786468047990628,0.01571102050021503,TRUE,Not significant
KIF5A,-0.28489868924066036,3.012269387476958,7.484940313721814,0.009789811621468173,0.015714774123810983,TRUE,Not significant
ANPEP,1.0361188272036987,-0.33365238142323367,7.484212545477076,0.009799798653030645,0.015729190074642532,TRUE,Up-regulated
CCNQ,-0.16283529129072702,4.736463359807737,7.478750812430496,0.009817338170674211,0.015755723956015804,TRUE,Not significant
HNMT,0.2500461183897811,3.5496431999622713,7.477977129547209,0.0098208034509665,0.01575966713948731,TRUE,Not significant
CADM2,0.7653094926517242,0.09558882707132371,7.475372953575213,0.009834127597058815,0.015779428635872013,TRUE,Not significant
SRR,0.22878253562042425,3.686059396800673,7.469572275427031,0.009858355690626937,0.015816680296088997,TRUE,Not significant
WNT2B,0.596839580963425,0.6783659286813037,7.467933285270707,0.009866186639166608,0.015827619539174182,TRUE,Not significant
TRAPPC2B,0.3862798792091498,2.047481407818957,7.466134414370554,0.009873807897897494,0.015838220181048628,TRUE,Not significant
CCNDBP1,0.14078194185695306,5.372821809059389,7.46500377597077,0.009878821260396544,0.01584463584402237,TRUE,Not significant
LOC124904391,0.5656523628403238,0.9870834879187717,7.460804088499012,0.009898014170610227,0.015873790425470744,TRUE,Not significant
CIB2,0.5750613247618203,0.7941202658993888,7.456818113555523,0.009916076677051433,0.015901126342701744,TRUE,Not significant
SDAD1P1,0.5688315520674762,0.7975103941234539,7.45368894244757,0.00993015251809129,0.015922064408880474,TRUE,Not significant
KDM7A,-0.27586088156893,3.4776223505825814,7.452992823411334,0.009932898491820667,0.015924833667776903,TRUE,Not significant
LOC105377994,0.8429387723643033,0.2125554537742602,7.442017017215546,0.00998391889611522,0.016004989984233938,TRUE,Not significant
TMEM120A,0.19599287870164916,4.560827124047684,7.439597500567972,0.00999354825556293,0.01601878363598078,TRUE,Not significant
ZBTB46,0.267111529265041,3.049263666411837,7.432080778336278,0.010027784346484563,0.016070499458566857,TRUE,Not significant
LOC124901701,1.1561093558923548,-0.7470643759629045,7.434739039230601,0.010027868280192103,0.016070499458566857,TRUE,Up-regulated
ISCA2,-0.2700292210925355,3.385406269460344,7.43028652562338,0.010035968608388875,0.01608183200216507,TRUE,Not significant
LAGE3,0.21572162388622346,3.9404516305690227,7.423241736120965,0.010068171679080654,0.016131780968122053,TRUE,Not significant
LCA5L,0.37561873399984375,2.1255680885029538,7.421971355122985,0.010074030149860348,0.01613951324746999,TRUE,Not significant
CD36,-0.5962355008600059,1.0691671482436131,7.421333349743421,0.010077353446618849,0.0161415262499737,TRUE,Not significant
LRP4,0.25776811156748514,3.661346753383791,7.421111305857346,0.010077939643832181,0.0161415262499737,TRUE,Not significant
ATR,-0.11283727065745619,6.999721416850123,7.421010987377672,0.010078384815962465,0.0161415262499737,TRUE,Not significant
CKAP4,-0.09621013525502176,8.303007814688552,7.416352533195894,0.010099769874827462,0.016174119174544387,TRUE,Not significant
CSNK1E,-0.4136377812415229,2.1727695286428386,7.409078321027871,0.010133320305201879,0.016226185469757747,TRUE,Not significant
PHYHIPL,0.8482497250216038,-0.214480366820331,7.407154039414485,0.010145240727301363,0.016243609154652765,TRUE,Not significant
LOC101927764,0.7646686062271956,0.09671273296062263,7.403778781883433,0.010159784334529567,0.016265228838338332,TRUE,Not significant
SF3B5,-0.12769139946899263,5.757892976641438,7.4016550739779845,0.010167561684042084,0.016276012814581912,TRUE,Not significant
PRKN,-0.6781474672698787,0.6748638062721628,7.401488301656289,0.010169168760579035,0.016276918354106537,TRUE,Not significant
ESS2,0.17633819868691536,4.346062164967292,7.391446843825752,0.010214937840087661,0.016348502809806487,TRUE,Not significant
LINC03027,-0.544909986281122,1.1839570469015004,7.3894998524903945,0.01022429957758125,0.01636181042260622,TRUE,Not significant
OXR1-AS1,1.031863607789157,-0.5570638375713016,7.388857692946308,0.01023380805129307,0.016375350106645238,TRUE,Up-regulated
